ts_utc,step,source_name,url_or_file,status_code,rows_fetched,duration_s,user_agent,notes
2025-11-18T13:57:31+00:00,search,google_books,https://www.googleapis.com/books/v1/volumes?maxResults=5&key=AIzaSyBj-bOHrm-3LL5Hu83NPDWDm4jhPhoEmCw&q=Data%2BSmart%3A%2BUsing%2BData%2BScience%2Bto%2BTransform%2BInformation%2Binto%2BInsight%2Binauthor%3AJohn%2BW.%2BForeman,200,,1.353,books-pipeline/1.0 (+https://example.local),
2025-11-18T13:57:34+00:00,search,google_books,https://www.googleapis.com/books/v1/volumes?maxResults=5&key=AIzaSyBj-bOHrm-3LL5Hu83NPDWDm4jhPhoEmCw&q=Data%2BScience%2Bfrom%2BScratch%3A%2BFirst%2BPrinciples%2Bwith%2BPython%2Binauthor%3AJoel%2BGrus,200,,1.709,books-pipeline/1.0 (+https://example.local),
2025-11-18T13:57:36+00:00,search,google_books,https://www.googleapis.com/books/v1/volumes?maxResults=5&key=AIzaSyBj-bOHrm-3LL5Hu83NPDWDm4jhPhoEmCw&q=R%2Bfor%2BData%2BScience%3A%2BImport%2C%2BTidy%2C%2BTransform%2C%2BVisualize%2C%2Band%2BModel%2BData%2Binauthor%3AHadley%2BWickham,200,,1.286,books-pipeline/1.0 (+https://example.local),
2025-11-18T13:57:39+00:00,search,google_books,https://www.googleapis.com/books/v1/volumes?maxResults=5&key=AIzaSyBj-bOHrm-3LL5Hu83NPDWDm4jhPhoEmCw&q=Mindmasters%3A%2BThe%2BData-Driven%2BScience%2Bof%2BPredicting%2Band%2BChanging%2BHuman%2BBehavior%2Binauthor%3ASandra%2BMatz,200,,2.777,books-pipeline/1.0 (+https://example.local),
2025-11-18T13:57:41+00:00,search,google_books,https://www.googleapis.com/books/v1/volumes?maxResults=5&key=AIzaSyBj-bOHrm-3LL5Hu83NPDWDm4jhPhoEmCw&q=Doing%2BData%2BScience%3A%2BStraight%2BTalk%2Bfrom%2Bthe%2BFrontline%2Binauthor%3ACathy%2BO%27Neil,200,,1.398,books-pipeline/1.0 (+https://example.local),
2025-11-18T13:57:44+00:00,search,google_books,https://www.googleapis.com/books/v1/volumes?maxResults=5&key=AIzaSyBj-bOHrm-3LL5Hu83NPDWDm4jhPhoEmCw&q=Python%2BData%2BScience%2BHandbook%3A%2BEssential%2BTools%2Bfor%2BWorking%2Bwith%2BData%2Binauthor%3AJake%2BVanderPlas,200,,2.052,books-pipeline/1.0 (+https://example.local),
2025-11-18T13:57:45+00:00,search,google_books,https://www.googleapis.com/books/v1/volumes?maxResults=5&key=AIzaSyBj-bOHrm-3LL5Hu83NPDWDm4jhPhoEmCw&q=Numsense%21%2BData%2BScience%2Bfor%2Bthe%2BLayman%3A%2BNo%2BMath%2BAdded%2Binauthor%3AAnnalyn%2BNg,200,,0.708,books-pipeline/1.0 (+https://example.local),
2025-11-18T13:57:46+00:00,search,google_books,https://www.googleapis.com/books/v1/volumes?maxResults=5&key=AIzaSyBj-bOHrm-3LL5Hu83NPDWDm4jhPhoEmCw&q=Data%2BScience%2B%28The%2BMIT%2BPress%2BEssential%2BKnowledge%2Bseries%29%2Binauthor%3AJohn%2BD.%2BKelleher,200,,0.798,books-pipeline/1.0 (+https://example.local),
2025-11-18T13:57:48+00:00,search,google_books,https://www.googleapis.com/books/v1/volumes?maxResults=5&key=AIzaSyBj-bOHrm-3LL5Hu83NPDWDm4jhPhoEmCw&q=Becoming%2Ba%2BData%2BHead%3A%2BHow%2Bto%2BThink%2C%2BSpeak%2C%2Band%2BUnderstand%2BData%2BScience%2C%2BStatistics%2C%2Band%2BMachine%2BLearning%2Binauthor%3AAlex%2BJ.%2BGutman,200,,0.881,books-pipeline/1.0 (+https://example.local),
2025-11-18T13:57:50+00:00,search,google_books,https://www.googleapis.com/books/v1/volumes?maxResults=5&key=AIzaSyBj-bOHrm-3LL5Hu83NPDWDm4jhPhoEmCw&q=Data%2BScience%2BFor%2BDummies%2B%28For%2BDummies%2Binauthor%3ALillian%2BPierson,200,,1.343,books-pipeline/1.0 (+https://example.local),
2025-11-18T13:57:52+00:00,search,google_books,https://www.googleapis.com/books/v1/volumes?maxResults=5&key=AIzaSyBj-bOHrm-3LL5Hu83NPDWDm4jhPhoEmCw&q=Ace%2Bthe%2BData%2BScience%2BInterview%3A%2B201%2BReal%2BInterview%2BQuestions%2BAsked%2BBy%2BFAANG%2C%2BTech%2BStartups%2C%2B%26%2BWall%2BStreet%2Binauthor%3AKevin%2BHuo,200,,1.119,books-pipeline/1.0 (+https://example.local),
2025-11-18T13:57:55+00:00,search,google_books,https://www.googleapis.com/books/v1/volumes?maxResults=5&key=AIzaSyBj-bOHrm-3LL5Hu83NPDWDm4jhPhoEmCw&q=The%2BArt%2Bof%2BData%2BScience%3A%2BA%2BGuide%2Bfor%2BAnyone%2BWho%2BWorks%2Bwith%2BData%2Binauthor%3ARoger%2BD.%2BPeng,200,,2.78,books-pipeline/1.0 (+https://example.local),
2025-11-18T13:57:57+00:00,search,google_books,https://www.googleapis.com/books/v1/volumes?maxResults=5&key=AIzaSyBj-bOHrm-3LL5Hu83NPDWDm4jhPhoEmCw&q=What%2BIs%2BData%2BScience%3F%2Binauthor%3AMike%2BLoukides,200,,1.187,books-pipeline/1.0 (+https://example.local),
2025-11-18T13:58:00+00:00,search,google_books,https://www.googleapis.com/books/v1/volumes?maxResults=5&key=AIzaSyBj-bOHrm-3LL5Hu83NPDWDm4jhPhoEmCw&q=Minding%2Bthe%2BMachines%3A%2BBuilding%2Band%2BLeading%2BData%2BScience%2Band%2BAnalytics%2BTeams%2Binauthor%3AJeremy%2B%2BAdamson,200,,2.647,books-pipeline/1.0 (+https://example.local),
